UID,Univ_name,DID,KAIST_dept,Univ_track
1,Instituto Tecnologico de Buenos Aires,2,Department of Bio and Brain Engineering,Bioengineering
1,Instituto Tecnologico de Buenos Aires,4,Department of Chemical and Biomolecular Engineering,Chemical Engineering
1,Instituto Tecnologico de Buenos Aires,15,School of Computing,Computer Science
1,Instituto Tecnologico de Buenos Aires,16,School of Electrical Engineering,Electrical and Electronic Engineering
1,Instituto Tecnologico de Buenos Aires,14,School of Business and Technology Management,Finance
1,Instituto Tecnologico de Buenos Aires,7,Department of Industrial & Systems Engineering,Industrial Engineering
1,Instituto Tecnologico de Buenos Aires,10,Department of Mathematical Sciences,Mathematics
1,Instituto Tecnologico de Buenos Aires,11,Department of Mechanical Engineering,Mechanical Engineering
1,Instituto Tecnologico de Buenos Aires,13,Department of Physics,Physics
2,University of New South Wales,2,Department of Bio and Brain Engineering,Biomedical Engineering
2,University of New South Wales,3,Department of Biological Sciences,Biology
2,University of New South Wales,4,Department of Chemical and Biomolecular Engineering,Chemical Engineering
2,University of New South Wales,5,Department of Chemistry,Chemistry
2,University of New South Wales,6,Department of Civil and Environmental Engineering,Civil Engineering
2,University of New South Wales,15,School of Computing,Computer Engineering
2,University of New South Wales,15,School of Computing,Computer Science
2,University of New South Wales,16,School of Electrical Engineering,Electrical Engineering
2,University of New South Wales,6,Department of Civil and Environmental Engineering,Environmental Engineering
2,University of New South Wales,8,Department of Industrial Design,Industrial Design
2,University of New South Wales,10,Department of Mathematical Sciences,Mathematics
2,University of New South Wales,11,Department of Mechanical Engineering,Mechanical Engineering
2,University of New South Wales,13,Department of Physics,Physics
2,University of New South Wales,7,Department of Industrial & Systems Engineering,Production Engineering
3,University of Queensland,3,Department of Biological Sciences,Biological and Life Sciences
3,University of Queensland,2,Department of Bio and Brain Engineering,Biomedical Engineering
3,University of Queensland,4,Department of Chemical and Biomolecular Engineering,Chemical Engineering
3,University of Queensland,6,Department of Civil and Environmental Engineering,Civil Engineering
3,University of Queensland,16,School of Electrical Engineering,Electrical Engineering
3,University of Queensland,6,Department of Civil and Environmental Engineering,Environmental Engineering
3,University of Queensland,11,Department of Mechanical Engineering,Mechanical Engineering
4,RMIT(Royal Melbourne Institute of Technology),1,Department of Aerospace Engineering,Aeronautical and Aerospace Engineering
4,RMIT(Royal Melbourne Institute of Technology),6,Department of Civil and Environmental Engineering,Architecture
