DID,Name
1,Department of Aerospace Engineering
2,Department of Bio and Brain Engineering
3,Department of Biological Sciences
4,Department of Chemical and Biomolecular Engineering
5,Department of Chemistry
6,Department of Civil and Environmental Engineering
7,Department of Industrial & Systems Engineering
8,Department of Industrial Design
9,Department of Materials Science & Engineering
10,Department of Mathematical Sciences
11,Department of Mechanical Engineering
12,Department of Nuclear and Quantum Engineering
13,Department of Physics
14,School of Business and Technology Management
15,School of Computing
16,School of Electrical Engineering
